state,club,website,program_name,program_url,program_type
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Slogan,https://www.alabamarushsoccer.com/rush-slogan,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Core Values,https://www.alabamarushsoccer.com/rush-core-values,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Vision Statement,https://www.alabamarushsoccer.com/rush-vision-statement,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Mission Statement,https://www.alabamarushsoccer.com/rush-mission-statement,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Locations,https://www.alabamarushsoccer.com/locations,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rainbow City MegaSports Plex Field Layout,https://www.alabamarushsoccer.com/field-layouts,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Alabama Rush Formations,https://www.alabamarushsoccer.com/alabama-rush-formations,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Parent Resources,https://www.alabamarushsoccer.com/parent-resources,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Manager's Resources,https://www.alabamarushsoccer.com/manager-s-resources,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Coach's Resources,https://www.alabamarushsoccer.com/coach-s-resources,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Fundraising,https://www.alabamarushsoccer.com/fundraising,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Becoming a Partner,https://www.alabamarushsoccer.com/becomingapartner,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Alabama Rush Gold Partners,https://www.alabamarushsoccer.com/alabama-rush-gold-partners,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Alabama Rush Platnum Partners,https://www.alabamarushsoccer.com/alabama-rush-platinum-partners,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Alabama Rush Diamond Partners,https://www.alabamarushsoccer.com/alabama-rush-diamond-partner,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Recreational Info,https://www.alabamarushsoccer.com/rush-recreational-info,Recreational
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Alabama Rush Tryouts/Placement for Fall,https://www.alabamarushsoccer.com/al-rush-tryouts/alabama-rush-tryouts/alabama-rush-tryouts/placement-for-fall,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Minis Info,https://www.alabamarushsoccer.com/2026-rush-minis-info,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Pre Academy Info,https://www.alabamarushsoccer.com/rush-pre-academy-info,Elite/Competitive
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Academy Info,https://www.alabamarushsoccer.com/rush-academy-info,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Competitive Info,https://www.alabamarushsoccer.com/rush-competitive-info,Competitive
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Alabama Rush Season Fees,https://www.alabamarushsoccer.com/competitive-fees-,Competitive
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Select,https://www.alabamarushsoccer.com/rush-select-alabama,Competitive
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush Development,https://www.alabamarushsoccer.com/rush-development,Development
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Winter Futsal Information,https://www.alabamarushsoccer.com/winter-futsal-information,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Winter Futsal Rosters,https://www.alabamarushsoccer.com/winter-futsal-rosters,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Winter Futsal Schedule,https://www.alabamarushsoccer.com/-winter-futsal-schedule,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Winter Futsal Standings,https://www.alabamarushsoccer.com/winter-futsal-standings,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Winter Futsal Rules,https://www.alabamarushsoccer.com/winter-futsal-rules,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Goalkeeper Central,https://www.alabamarushsoccer.com/goalkeeper-central,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rainbow City Goalkeeper Training,https://www.alabamarushsoccer.com/goalkeeping-training-rbc,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Sand Mountain Goalkeeper Training,https://www.alabamarushsoccer.com/sand-mountain-goalkeeping-training,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Fort Payne Goalkeeper Training,https://www.alabamarushsoccer.com/fort-payne-goalkeeping-training,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush World Cup 3v3 Tournaments,https://www.alabamarushsoccer.com/rush-world-cup-3v3-tournaments,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Summer Sizzle 3v3 Tournaments,https://www.alabamarushsoccer.com/summer-sizzle-3v3-tournaments,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Halloween 3v3 Tournaments,https://www.alabamarushsoccer.com/halloween-3v3-tournaments,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Alabama Rush Cup,https://www.alabamarushsoccer.com/rush-cup-tournament,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,OMEGABALL,https://www.alabamarushsoccer.com/OMEGABALL,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rush GK Wars,https://www.alabamarushsoccer.com/rush-gk-wars,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Martin Luther King Day Camp,https://www.alabamarushsoccer.com/martin-luther-king-day-camp,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Spring Break Camp,https://www.alabamarushsoccer.com/spring-break-camp,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Summer Camps,https://www.alabamarushsoccer.com/summer-camps,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Summer Mini's Camps,https://www.alabamarushsoccer.com/summer-mini-s-camps,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Summer Goalkeeper/Striker Camps,https://www.alabamarushsoccer.com/summer-goalkeeper/striker-camps,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Thanksgiving Camp,https://www.alabamarushsoccer.com/thanksgiving-camp,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Dream Center Soccer Clinic,https://www.alabamarushsoccer.com/dream-center-soccer-clinic,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,EYSL Soccer Clinic,https://www.alabamarushsoccer.com/eysl-soccer-clinic,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,College ID Camp,https://www.alabamarushsoccer.com/college-id-camp,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Academy Schedule,https://www.alabamarushsoccer.com/academy-schedule,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Rainbow City Practice Schedule,https://www.alabamarushsoccer.com/rbc-practice-schedule,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Sand Mountain Practice Schedule,https://www.alabamarushsoccer.com/sm-practice-schedule,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Fort Payne Practice Schedule,https://www.alabamarushsoccer.com/fort-payne-practice-schedule,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Alabama State League  Schedule,https://www.alabamarushsoccer.com/alabama-state-league-schedule,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Comments / Suggestions,https://www.alabamarushsoccer.com/comments-/-suggestions,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Explore Destinations,https://rushsoccer.com/rush-travel/?utm_source=club&utm_medium=banner&utm_campaign=club_referral,Competitive
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Button,https://rushsoccer.com/college-advisory-program/,Program
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Button,https://rushsoccer.com/rush-development/,Development
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Button,https://rushsoccer.com/rush-select/,Competitive
Alabama,Alabama Rush Soccer,https://www.alabamarushsoccer.com/,Button,https://rushsoccer.com/rush-travel,Competitive
Alabama,Alamo FC,https://www.alamofc.com/,Alamo FC – 2026 Tryouts,https://www.alamofc.com/event-details/alamo-fc-2026-tryouts,Program
Alabama,Arab Unknighted,https://www.arabuknighted.org/,About,https://www.arabuknighted.org/about,Program
Alabama,Arab Unknighted,https://www.arabuknighted.org/,Competitive,https://www.arabuknighted.org/competitive,Competitive
Alabama,Arab Unknighted,https://www.arabuknighted.org/,Recreation,https://www.arabuknighted.org/recreation,Program
Alabama,Arab Unknighted,https://www.arabuknighted.org/,Adult League,https://www.arabuknighted.org/adultleague,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Button,https://www.auburnsoccerclub.com/academy,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Tryouts,https://www.auburnsoccerclub.com/tryouts,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,ASC East,https://www.auburnsoccerclub.com/asc-east,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Tiny Tykes,https://www.auburnsoccerclub.com/tiny-tykes,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Development Academy,https://www.auburnsoccerclub.com/development-academy,Development
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Select,https://www.auburnsoccerclub.com/select,Competitive
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Strikes,https://www.auburnsoccerclub.com/strikes,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Futsal,https://www.auburnsoccerclub.com/futsal,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Summer Training,https://www.auburnsoccerclub.com/summer-training,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Camps,https://www.auburnsoccerclub.com/camps,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Parent Corner,https://www.auburnsoccerclub.com/parent-corner,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Club Bylaws,https://www.auburnsoccerclub.com/club-by-laws,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Injury Prevention,https://www.auburnsoccerclub.com/injury-prevention,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Age Group Calculator,https://www.auburnsoccerclub.com/age-group-calculator,Program
Alabama,Auburn Soccer Club,https://www.auburnsoccerclub.com/academy,Coaching,https://www.auburnsoccerclub.com/coaching,Program
Alabama,Auburn Thunder,https://www.auburnsoccerclub.com/,Tryouts,https://www.auburnsoccerclub.com/tryouts,Program
