club_id,club_name,conference,age_groups,league,season
2738,Atletico Dallas Youth ECNL RL NTX B13,NTX,B2010 | B2012 | B2013,ECNL RL Boys,2025-26
4068,Avanti SA Blue ECNL RL NTX B13,NTX,B2008/2007 | B2009 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
1771,BVBIA Black ECNL RL NTX B13,NTX,B2010 | B2013,ECNL RL Boys,2025-26
35,DKSC ECNL RL NTX B13,NTX,B2012 | B2013,ECNL RL Boys,2025-26
37,Dallas Texans ECNL RL NTX B13,NTX,B2008/2007 | B2013,ECNL RL Boys,2025-26
47,FC Dallas Blue ECNL RL NTX B13,NTX,B2008/2007 | B2009 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
2127,Fever United FC ECNL RL NTX B13,NTX,B2011 | B2013,ECNL RL Boys,2025-26
3717,NTX Celtic FC ECNL RL NTX B13,NTX,B2010 | B2013,ECNL RL Boys,2025-26
101,SOLAR BLUE ECNL RL NTX B13,NTX,B2013,ECNL RL Boys,2025-26
36,Sting Brave ECNL RL NTX B13,NTX,B2008/2007 | B2013,ECNL RL Boys,2025-26
4370,AC Connecticut ECNL RL B13,New England,B2013,ECNL RL Boys,2025-26
31,Connecticut FC United ECNL RL B13,New England,B2011 | B2012 | B2013,ECNL RL Boys,2025-26
1409,East Coast Surf SC ECNL RL B13,New England,B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
42,East Meadow SC ECNL RL B13,New England,B2013,ECNL RL Boys,2025-26
52,FC Stars ECNL RL B13,New England,B2009 | B2010 | B2013,ECNL RL Boys,2025-26
431,FSA FC ECNL RL B13,New England,B2008/2007 | B2009 | B2013,ECNL RL Boys,2025-26
518,Manhattan SC ECNL RL B13,New England,B2009 | B2011 | B2013,ECNL RL Boys,2025-26
428,STA ECNL RL B13,New England,B2008/2007 | B2009 | B2010 | B2011 | B2013,ECNL RL Boys,2025-26
9,SUSA FC ECNL RL B13,New England,B2010 | B2013,ECNL RL Boys,2025-26
94,Scorpions SC ECNL RL B13,New England,B2012 | B2013,ECNL RL Boys,2025-26
116,World Class FC ECNL RL B13,New England,B2012 | B2013,ECNL RL Boys,2025-26
5323,Albany Berkeley SC Lightning Elite ECNL RL B11,NorCal,B2011,ECNL RL Boys,2025-26
4398,Albion SC Central Valley ECNL RL B09,NorCal,B2009,ECNL RL Boys,2025-26
4582,CVFA Academy ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
5087,Central Valley Premier FC  ECNL RL B09,NorCal,B2009,ECNL RL Boys,2025-26
1249,Clovis Crossfire ECNL RL B13,NorCal,B2008/2007 | B2010 | B2013,ECNL RL Boys,2025-26
4544,East Bay United ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
4403,Eastshore Alliance FC ECNL RL B13,NorCal,B2012 | B2013,ECNL RL Boys,2025-26
5109,FC Fresno Academy ECNL RL B13,NorCal,B2013,ECNL RL Boys,2025-26
3989,FLS ECNL RL B13,NorCal,B2010 | B2011 | B2012 | B2013,ECNL RL Boys,2025-26
