club_name,city,state,league,tier,tier_label,conference,division,gender,source_file
East Bay United,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
El Dorado Hills Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Elk Grove United SC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Empire Surf,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Evolution FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
FC Fresno Academy,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
FC Man United,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
FC Premier,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Fremont Rush Soccer,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Girls Unite,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
IR Academy,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
LA Galaxy Youth Programs,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
LAFC So Cal Youth,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Legends FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Legends FC (SJ),,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Lincoln FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Livermore Fusion FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Loomis Youth Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Los Angeles Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Los Gatos United Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Marin City Sausalito FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Marin FC,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Martinez Pleasant Hill Futbol Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Mendocino County Soccer Academy,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
Mill Valley Soccer Club,,CA,National Directory (ussoccerparent.com),TBD,Unknown,,,Mixed,national_clubs.csv
