club_name,city,state,league,tier,tier_label,source
NJ Nationals FC,Egg Harbor Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
NJ Premier FC,Somerset,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
NJ Santos FC,Elizabeth,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Nona Soccer Academy,Lake Nona,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
North Plainfield SC,North Plainfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
NY Hota Bavarians SC,New York,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Oakwood Sports Center,Glastonbury,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Ocean Township United SA,Ocean Township,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Ocean United,Unknown,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Old Bridge Soccer Club,Old Bridge,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
PA Classics,Manheim,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
PA Classics Harrisburg,Harrisburg,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
PA Mutiny Gold,Collegeville,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Parsippany SC,Parsippany,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
PASCO Soccer Club,Paterson,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Passaic Youth Soccer,Passaic,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Penn Alliance Select,Allentown,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Penn Fusion Soccer Academy,West Chester,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Philadelphia International FC,Philadelphia,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Philadelphia SC,Philadelphia,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Phoenixville Area SC,Phoenixville,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Pittsgrove Soccer Club,Pittsgrove,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Plantation FC Rush,Plantation,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Princeton SA,Princeton,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
PSA SDFC,Randolph,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Quakertown SC,Quakertown,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Radnor SC,Wayne,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Rahway Youth Soccer,Rahway,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
RCD Espanyol de Barcelona NJ,West New York,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Real Jersey FC,Unknown,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Ridgefield Football Club,Ridgefield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Rose Tree Soccer Club,Media,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Saratoga-Wilton Soccer Club,Saratoga Springs,NY,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Sayreville Soccer Club,South Amboy,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
SC Vistula Garfield,Garfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Schulz Academy,Orlando,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
SCP Youth Soccer,Kenilworth,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Sevilla FC Academy Florida,Miami,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
SFL Club,Millburn,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
SJEB FC,Medford,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Soccer Vision Academy,Unknown,OH,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
South Orlando Soccer Club,Orlando,FL,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Southampton SA,Southampton,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Southern Chester County SA,Avondale,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Southern Soccer Academy,Marietta,GA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Sporting AC New Jersey,Newark,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Sporting Athletic Club,Newark,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Sporting CT,Middletown,CT,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Springfield SC,Springfield,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Steel United NJ,Bridgewater,NJ,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
Steel United PA,Philadelphia,PA,EDP Soccer,T2,Competitive Travel,myclubscout.com/leagues/edp-soccer
