club,club_id,season,league,region,coast_url
Fontana Scorpions FC,266,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=266
Formadores SC,103,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=103
Fullerton City FC,264,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=264
Futbol Foundation of SC,894,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=894
Futbol Legacy,499,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=499
Galacticos Soccer Club,265,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=265
Galaxy United,104,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=104
GB United,277,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=277
Gladiators FC,237,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=237
Glendale FC,965,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=965
Guadalajara Valley FC,762,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=762
Hemet Juventus,835,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=835
HG Eagles,589,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=589
Inglewood SC,384,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=384
Inland Empire Coyotes FC,240,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=240
Inland United SC,537,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=537
Inter-America Soccer Club,959,fall 2025,Coast Soccer,SoCal,https://coastsoccer.us/coastsoccer/clubs?YEAR=2025&SEASON=fall&CLUB=959
