team_id,club_id,team_name,club_name,age_group,conference,league,season
115190,4068,Avanti SA Pre-ECNL B17 Cavazos,Avanti SA Pre-ECNL B17 Cavazos,B2015,NTX,Pre-ECNL Boys,2025-26
112692,1771,BVBIA Pre-ECNL B14 Fritz,BVBIA Pre-ECNL B14 Fritz,B2015,NTX,Pre-ECNL Boys,2025-26
112699,1771,BVBIA Pre-ECNL B14 Ngwenya,BVBIA Pre-ECNL B14 Ngwenya,B2015,NTX,Pre-ECNL Boys,2025-26
95739,1771,BVBIA Pre-ECNL B14 Suffredin,BVBIA Pre-ECNL B14 Suffredin,B2015,NTX,Pre-ECNL Boys,2025-26
112693,1771,BVBIA Pre-ECNL B16 Brown,BVBIA Pre-ECNL B16 Brown,B2015,NTX,Pre-ECNL Boys,2025-26
112695,1771,BVBIA Pre-ECNL B16 DeSousa,BVBIA Pre-ECNL B16 DeSousa,B2015,NTX,Pre-ECNL Boys,2025-26
112694,1771,BVBIA Pre-ECNL B16 Klassen,BVBIA Pre-ECNL B16 Klassen,B2015,NTX,Pre-ECNL Boys,2025-26
112697,1771,BVBIA Pre-ECNL B16 Rivas,BVBIA Pre-ECNL B16 Rivas,B2015,NTX,Pre-ECNL Boys,2025-26
96799,7,DKSC Pre ECNL B14 Montenegro,DKSC Pre ECNL B14 Montenegro,B2015,NTX,Pre-ECNL Boys,2025-26
115747,7,DKSC Pre ECNL B14 Padilla,DKSC Pre ECNL B14 Padilla,B2015,NTX,Pre-ECNL Boys,2025-26
96800,35,DKSC Pre ECNL B14 Rubio,DKSC Pre ECNL B14 Rubio,B2015,NTX,Pre-ECNL Boys,2025-26
115752,35,DKSC Pre ECNL B16 Arana,DKSC Pre ECNL B16 Arana,B2015,NTX,Pre-ECNL Boys,2025-26
115751,35,DKSC Pre ECNL B16 De La Cruz,DKSC Pre ECNL B16 De La Cruz,B2015,NTX,Pre-ECNL Boys,2025-26
115753,35,DKSC Pre ECNL B16 Guerrero,DKSC Pre ECNL B16 Guerrero,B2015,NTX,Pre-ECNL Boys,2025-26
117078,35,DKSC Pre ECNL B16 Yazzan,DKSC Pre ECNL B16 Yazzan,B2015,NTX,Pre-ECNL Boys,2025-26
96801,7,DKSC Pre-ECNL B14 Guerrero,DKSC Pre-ECNL B14 Guerrero,B2015,NTX,Pre-ECNL Boys,2025-26
116152,37,Dallas Texans Pre-ECNL B14 Hager,Dallas Texans Pre-ECNL B14 Hager,B2015,NTX,Pre-ECNL Boys,2025-26
95247,37,Dallas Texans Pre-ECNL B14 McKinney,Dallas Texans Pre-ECNL B14 McKinney,B2015,NTX,Pre-ECNL Boys,2025-26
95249,37,Dallas Texans Pre-ECNL B14 Rios,Dallas Texans Pre-ECNL B14 Rios,B2015,NTX,Pre-ECNL Boys,2025-26
95248,37,Dallas Texans Pre-ECNL B14 Salazar,Dallas Texans Pre-ECNL B14 Salazar,B2015,NTX,Pre-ECNL Boys,2025-26
116146,37,Dallas Texans Pre-ECNL B16 Benavides,Dallas Texans Pre-ECNL B16 Benavides,B2015,NTX,Pre-ECNL Boys,2025-26
116145,37,Dallas Texans Pre-ECNL B16 Boaz,Dallas Texans Pre-ECNL B16 Boaz,B2015,NTX,Pre-ECNL Boys,2025-26
116144,37,Dallas Texans Pre-ECNL B16 Mendoza,Dallas Texans Pre-ECNL B16 Mendoza,B2015,NTX,Pre-ECNL Boys,2025-26
116147,37,Dallas Texans Pre-ECNL B16 Saldivar,Dallas Texans Pre-ECNL B16 Saldivar,B2015,NTX,Pre-ECNL Boys,2025-26
