team_id,club_id,team_name,club_name,age_group,conference,league,season
90161,3585,Arkansas Comets FC ECNL RL B13,Arkansas Comets FC ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
71898,3594,Arkansas Rising ECNL RL B13,Arkansas Rising ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
116917,3620,FC Tulsa Academy ECNL RL B13,FC Tulsa Academy ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
117987,3694,Kernow Storm FC Frontier ECNL RL B13,Kernow Storm FC Frontier ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
96128,2133,OK Energy FC II ECNL RL B13,OK Energy FC II ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
72164,2250,Oklahoma Cosmos ECNL RL B13,Oklahoma Cosmos ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
111558,5136,SW Missouri Rush ECNL RL B13,SW Missouri Rush ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
52147,106,Tulsa SC ECNL RL B13,Tulsa SC ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
107345,3587,West Side Alliance Red ECNL RL B13,West Side Alliance Red ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
78782,3587,West Side Alliance White ECNL RL B13,West Side Alliance White ECNL RL B13,B2013,Frontier,ECNL RL Boys,2025-26
109076,4063,El Camino Futbol Club Salinas ECNL RL B08/07,El Camino Futbol Club Salinas ECNL RL B08/07,B2008/2007,Golden State,ECNL RL Boys,2025-26
95065,3054,Placer United ECNL RL B08/07,Placer United ECNL RL B08/07,B2008/2007,Golden State,ECNL RL Boys,2025-26
93390,3065,Association FC ECNL RL B09,Association FC ECNL RL B09,B2009,Golden State,ECNL RL Boys,2025-26
85062,1425,Davis Legacy ECNL RL B09,Davis Legacy ECNL RL B09,B2009,Golden State,ECNL RL Boys,2025-26
110955,4518,Club America Nido Aguila | Stockton ECNL RL B1,Club America Nido Aguila | Stockton ECNL RL B1,B2010,Golden State,ECNL RL Boys,2025-26
115398,69,Mustang SC ECNL RL B10,Mustang SC ECNL RL B10,B2010,Golden State,ECNL RL Boys,2025-26
117681,1470,COSC ECNL RL B11,COSC ECNL RL B11,B2011,Golden State,ECNL RL Boys,2025-26
107704,3054,Placer United ECNL RL B11,Placer United ECNL RL B11,B2011,Golden State,ECNL RL Boys,2025-26
109080,4063,El Camino FC Salinas ECNL RL B12 Golden State,El Camino FC Salinas ECNL RL B12 Golden State,B2012,Golden State,ECNL RL Boys,2025-26
109239,3054,Placer United ECNL RL B12,Placer United ECNL RL B12,B2012,Golden State,ECNL RL Boys,2025-26
114180,4342,1974 Newark FC ECNL RL B13,1974 Newark FC ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
113203,3065,Association FC ECNL RL B13,Association FC ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
117682,1470,COSC ECNL RL B13,COSC ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
110958,4518,Club America Stockton ECNL RL B13,Club America Stockton ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
110983,1425,Davis Legacy ECNL RL B13,Davis Legacy ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
109081,4063,El Camino Futbol Club Salinas ECNL RL B13,El Camino Futbol Club Salinas ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
117896,3231,Los Gatos United ECNL RL B13,Los Gatos United ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
114295,1585,Marin FC ECNL RL B13,Marin FC ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
115395,69,Mustang SC ECNL RL B13,Mustang SC ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
109255,3054,Placer United ECNL RL B13,Placer United ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
112663,1040,San Francisco Elite Academy ECNL RL B13,San Francisco Elite Academy ECNL RL B13,B2013,Golden State,ECNL RL Boys,2025-26
115642,88,San Juan SC RL B13,San Juan SC RL B13,B2013,Golden State,ECNL RL Boys,2025-26
