league,event_id,club,gotsport_url
GLA NPL,43157,Cleveland Kickers Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/12671
GLA NPL,43157,***Club NOT listed,https://system.gotsport.com/org_event/events/43157/clubs/10190
GLA NPL,43157,Club X Soccer,https://system.gotsport.com/org_event/events/43157/clubs/33878
GLA NPL,43157,Columbus Force SC,https://system.gotsport.com/org_event/events/43157/clubs/7774
GLA NPL,43157,Confluence SC,https://system.gotsport.com/org_event/events/43157/clubs/32719
GLA NPL,43157,Croatia Jrs,https://system.gotsport.com/org_event/events/43157/clubs/12897
GLA NPL,43157,Cuyahoga Valley Soccer Academy,https://system.gotsport.com/org_event/events/43157/clubs/12666
GLA NPL,43157,Delaware Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/19464
GLA NPL,43157,Elite FC,https://system.gotsport.com/org_event/events/43157/clubs/12399
GLA NPL,43157,Erie FC,https://system.gotsport.com/org_event/events/43157/clubs/12678
GLA NPL,43157,Erie Junior Commodores,https://system.gotsport.com/org_event/events/43157/clubs/18915
GLA NPL,43157,FC Alliance,https://system.gotsport.com/org_event/events/43157/clubs/3624
GLA NPL,43157,FC Midwest Academy Kendallville,https://system.gotsport.com/org_event/events/43157/clubs/25739
GLA NPL,43157,FC Pittsburgh,https://system.gotsport.com/org_event/events/43157/clubs/7788
GLA NPL,43157,Fusion FC NKY,https://system.gotsport.com/org_event/events/43157/clubs/3707
GLA NPL,43157,Gem City Soccer Alliance,https://system.gotsport.com/org_event/events/43157/clubs/35319
GLA NPL,43157,Glory SC,https://system.gotsport.com/org_event/events/43157/clubs/19314
GLA NPL,43157,Greater Firelands FC,https://system.gotsport.com/org_event/events/43157/clubs/5073
GLA NPL,43157,Great Lakes Alliance,https://system.gotsport.com/org_event/events/43157/clubs/12557
GLA NPL,43157,GTFC Impact,https://system.gotsport.com/org_event/events/43157/clubs/7765
GLA NPL,43157,Hoosier Futbol Club,https://system.gotsport.com/org_event/events/43157/clubs/7686
GLA NPL,43157,Indy Eleven North,https://system.gotsport.com/org_event/events/43157/clubs/10239
GLA NPL,43157,Internationals SC,https://system.gotsport.com/org_event/events/43157/clubs/9538
GLA NPL,43157,Kenmore Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/12903
GLA NPL,43157,Kings Hammer New Albany,https://system.gotsport.com/org_event/events/43157/clubs/18666
GLA NPL,43157,Legend SC,https://system.gotsport.com/org_event/events/43157/clubs/19319
GLA NPL,43157,Liberty Football Club,https://system.gotsport.com/org_event/events/43157/clubs/12896
GLA NPL,43157,Lightning SC (OH),https://system.gotsport.com/org_event/events/43157/clubs/23914
GLA NPL,43157,Manta United Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/13548
GLA NPL,43157,Mountaineer United Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/26361
GLA NPL,43157,NASA Xtabi,https://system.gotsport.com/org_event/events/43157/clubs/19321
GLA NPL,43157,Northern Steel,https://system.gotsport.com/org_event/events/43157/clubs/7792
GLA NPL,43157,North FC,https://system.gotsport.com/org_event/events/43157/clubs/12895
GLA NPL,43157,North Stars FC,https://system.gotsport.com/org_event/events/43157/clubs/22929
GLA NPL,43157,Northwest FC,https://system.gotsport.com/org_event/events/43157/clubs/18667
GLA NPL,43157,NY Rush,https://system.gotsport.com/org_event/events/43157/clubs/12909
GLA NPL,43157,Ohio Galaxies FC,https://system.gotsport.com/org_event/events/43157/clubs/7780
GLA NPL,43157,Ohio Premier,https://system.gotsport.com/org_event/events/43157/clubs/7781
GLA NPL,43157,Ohio Strikers United,https://system.gotsport.com/org_event/events/43157/clubs/12676
GLA NPL,43157,Olimpia USA Soccer,https://system.gotsport.com/org_event/events/43157/clubs/19324
GLA NPL,43157,Pacesetter Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/5069
GLA NPL,43157,Pittsburgh Elite Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/12907
GLA NPL,43157,Pittsburgh Football Club,https://system.gotsport.com/org_event/events/43157/clubs/22827
GLA NPL,43157,Pittsburgh Independence FC,https://system.gotsport.com/org_event/events/43157/clubs/34553
GLA NPL,43157,Pittsburgh Riverhounds,https://system.gotsport.com/org_event/events/43157/clubs/63
GLA NPL,43157,Pittsford Mustangs Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/23223
GLA NPL,43157,Polaris Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/13278
GLA NPL,43157,Pride Soccer Club,https://system.gotsport.com/org_event/events/43157/clubs/13279
GLA NPL,43157,Soccer Vision Academy Girls,https://system.gotsport.com/org_event/events/43157/clubs/12670
GLA NPL,43157,Soccer Vision Academy- OH Boys,https://system.gotsport.com/org_event/events/43157/clubs/12901
GLA NPL,43157,Spire FC,https://system.gotsport.com/org_event/events/43157/clubs/26080
GLA NPL,43157,Sporting Columbus,https://system.gotsport.com/org_event/events/43157/clubs/3724
