division,conference,school,mens_soccer,womens_soccer
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin-Oshkosh,False,True
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin-Platteville,True,True
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin-River Falls,True,True
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin-Stevens Point,True,True
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin-Stout,True,True
Division III,Upper Midwest Athletic Conference,University of Wisconsin-Superior,True,True
Division III,Wisconsin Intercollegiate Athletic Conference,University of Wisconsin-Whitewater,True,True
Division III,Southern Collegiate Athletic Conference,University of the Ozarks (Arkansas),True,True
Division III,Southern Athletic Association,University of the South,True,True
Division III,Centennial Conference,Ursinus College,True,True
Division III,Empire 8,Utica University,True,True
Division III,Liberty League,Vassar College,True,True
Division III,Little East Conference,Vermont State University Castleton,True,True
Division III,North Atlantic Conference,Vermont State University Lyndon,True,True
Division III,North Atlantic Conference,Vermont State University-Johnson,True,True
Division III,Old Dominion Athletic Conf.,Virginia Wesleyan University,True,True
Division III,North Coast Athletic Conference,Wabash College,True,False
Division III,Coast-To-Coast Athletic Conference,Warren Wilson College,True,True
Division III,American Rivers Conference,Wartburg College,True,True
Division III,Centennial Conference,Washington College (Maryland),True,True
Division III,University Athletic Association,Washington University in St. Louis,True,True
Division III,Presidents' Athletic Conference,Washington and Jefferson College,True,True
Division III,Old Dominion Athletic Conf.,Washington and Lee University,True,True
Division III,Presidents' Athletic Conference,Waynesburg University,True,True
Division III,St. Louis Intercollegiate Athletic Conference,Webster University,True,True
Division III,New England Women's and Men's Athletic Conference,Wellesley College,False,True
Division III,Conference of New England,Wentworth Institute of Technology,True,True
Division III,Collegiate Conference of the South,Wesleyan College (Georgia),False,True
Division III,New England Small College Athletic Conference,Wesleyan University (Connecticut),True,True
Division III,Little East Conference,Western Connecticut State University,True,True
Division III,Conference of New England,Western New England University,True,True
Division III,Massachusetts State Collegiate Athletic Conference,Westfield State University,True,True
Division III,St. Louis Intercollegiate Athletic Conference,Westminster College (Missouri),True,True
Division III,Presidents' Athletic Conference,Westminster College (Pennsylvania),True,True
Division III,College Conference of Illinois & Wisconsin,Wheaton College (Illinois),True,True
Division III,New England Women's and Men's Athletic Conference,Wheaton College (Massachusetts),True,True
Division III,Northwest Conference,Whitman College,True,True
Division III,Southern California Intercollegiate Athletic Conf.,Whittier College,True,True
Division III,Northwest Conference,Whitworth University,True,True
Division III,Middle Atlantic Conferences,Widener University,True,True
Division III,Landmark Conference,Wilkes University,True,True
Division III,Northwest Conference,Willamette University,True,True
Division III,New Jersey Athletic Conference,William Paterson University of New Jersey,True,True
Division III,USA South Athletic Conference,William Peace University,True,True
Division III,New England Small College Athletic Conference,Williams College,True,True
Division III,Ohio Athletic Conference,Wilmington College (Ohio),True,True
Division III,United East Conference,Wilson College,True,True
Division III,Northern Athletics Collegiate Conference,Wisconsin Lutheran College,True,True
Division III,North Coast Athletic Conference,Wittenberg University,True,True
Division III,New England Women's and Men's Athletic Conference,Worcester Polytechnic Institute,True,True
Division III,Massachusetts State Collegiate Athletic Conference,Worcester State University,True,True
Division III,Skyline Conference,Yeshiva University,True,True
Division III,City University of New York Athletic Conference,York College (New York),True,True
Division III,Middle Atlantic Conferences,York College (Pennsylvania),True,True
