division,conference,school,mens_soccer,womens_soccer
Division I,Southeastern Conference,Vanderbilt University,False,True
Division I,Big East Conference,Villanova University,True,True
Division I,Atlantic 10 Conference,Virginia Commonwealth University,True,True
Division I,Southern Conference,Virginia Military Institute,True,True
Division I,Atlantic Coast Conference,Virginia Polytechnic Institute and State University,True,True
Division I,Northeast Conference,Wagner College,False,True
Division I,Atlantic Coast Conference,Wake Forest University,True,True
Division I,Pac-12 Conference,Washington State University,False,True
Division I,Big Sky Conference,Weber State University,False,True
Division I,Big 12 Conference,West Virginia University,True,True
Division I,Southern Conference,Western Carolina University,False,True
Division I,Ohio Valley Conference,Western Illinois University,True,True
Division I,Conference USA,Western Kentucky University,False,True
Division I,Mid-American Conference,Western Michigan University,True,True
Division I,Coastal Athletic Association,William & Mary,True,True
Division I,Big South Conference,Winthrop University,True,True
Division I,Southern Conference,Wofford College,True,True
Division I,Horizon League,Wright State University,True,True
Division I,Big East Conference,Xavier University,True,True
Division I,The Ivy League,Yale University,True,True
Division I,Horizon League,Youngstown State University,False,True
Division II,Rocky Mountain Athletic Conference,Adams State University,True,True
Division II,Northeast-10 Conference,Adelphi University,True,True
Division II,Southern Intercol. Ath. Conf.,Albany State University (Georgia),False,True
Division II,Southern Intercol. Ath. Conf.,Allen University,False,True
Division II,Northeast-10 Conference,American International College,True,True
Division II,South Atlantic Conference,Anderson University (South Carolina),True,True
Division II,Lone Star Conference,Angelo State University,False,True
Division II,Great Midwest Athletic Conference,Ashland University,True,True
Division II,Northeast-10 Conference,Assumption University,True,True
Division II,Gulf South Conference,Auburn University at Montgomery,True,True
Division II,Northern Sun Intercollegiate Conference,Augustana University (South Dakota),False,True
Division II,Pacific West Conference,Azusa Pacific University,True,True
Division II,Sunshine State Conference,Barry University,True,True
Division II,Conference Carolinas,Barton College,True,True
Division II,Conference Carolinas,Belmont Abbey College,True,True
Division II,Northern Sun Intercollegiate Conference,Bemidji State University,False,True
Division II,Northeast-10 Conference,Bentley University,True,True
Division II,Pacific West Conference,Biola University,True,True
Division II,Rocky Mountain Athletic Conference,Black Hills State University,False,True
Division II,Pennsylvania State Athletic Conference,Bloomsburg University of Pennsylvania,True,True
Division II,Central Intercollegiate Athletic Association,Bluefield State University,False,True
Division II,Central Atlantic Collegiate Conference,Caldwell University,True,True
Division II,California Collegiate Athletic Association,"California State Polytechnic University, Humboldt",True,True
Division II,California Collegiate Athletic Association,"California State Polytechnic University, Pomona",True,True
Division II,California Collegiate Athletic Association,"California State University, Chico",True,True
Division II,California Collegiate Athletic Association,"California State University, Dominguez Hills",True,True
Division II,California Collegiate Athletic Association,"California State University, East Bay",True,True
Division II,California Collegiate Athletic Association,"California State University, Los Angeles",True,True
Division II,California Collegiate Athletic Association,"California State University, Monterey Bay",True,True
Division II,California Collegiate Athletic Association,"California State University, San Bernardino",True,True
Division II,California Collegiate Athletic Association,"California State University, San Marcos",True,True
Division II,California Collegiate Athletic Association,"California State University, Stanislaus",True,True
Division II,South Atlantic Conference,Carson-Newman University,True,True
Division II,South Atlantic Conference,Catawba College,True,True
Division II,Great Midwest Athletic Conference,Cedarville University,True,True
Division II,Great Northwest Athletic Conference,Central Washington University,False,True
Division II,Pacific West Conference,Chaminade University,True,True
Division II,Central Atlantic Collegiate Conference,Chestnut Hill College,True,True
Division II,Conference Carolinas,Chowan University,True,True
Division II,Gulf South Conference,Christian Brothers University,True,True
Division II,Peach Belt Conference,Clayton State University,True,True
Division II,South Atlantic Conference,Coker University,True,True
Division II,East Coast Conference,College of Staten Island,True,True
Division II,Rocky Mountain Athletic Conference,Colorado Christian University,True,True
Division II,Rocky Mountain Athletic Conference,Colorado Mesa University,True,True
Division II,Rocky Mountain Athletic Conference,Colorado School of Mines,True,True
Division II,Rocky Mountain Athletic Conference,Colorado State University Pueblo,True,True
Division II,Peach Belt Conference,Columbus State University,False,True
Division II,Mountain East Conference,Concord University,True,True
Division II,Pacific West Conference,Concordia University Irvine,True,True
Division II,Northern Sun Intercollegiate Conference,"Concordia University, St. Paul",False,True
Division II,Conference Carolinas,Converse University,True,True
Division II,East Coast Conference,D'Youville University,True,True
Division II,East Coast Conference,Daemen University,True,True
Division II,Lone Star Conference,Dallas Baptist University,True,True
Division II,Great Lakes Intercollegiate Athletic Conference,Davenport University,True,True
Division II,Mountain East Conference,Davis & Elkins College,True,True
Division II,Gulf South Conference,Delta State University,True,True
Division II,Central Atlantic Collegiate Conference,Dominican University New York,True,True
Division II,Pacific West Conference,Dominican University of California,True,True
Division II,Great Lakes Valley Conference,Drury University,True,True
Division II,Great American Conference,East Central University,False,True
Division II,Pennsylvania State Athletic Conference,East Stroudsburg University of Pennsylvania,True,True
Division II,Lone Star Conference,Eastern New Mexico University,False,True
Division II,Sunshine State Conference,Eckerd College,True,True
Division II,Southern Intercol. Ath. Conf.,Edward Waters University,False,True
Division II,Sunshine State Conference,Embry-Riddle Aeronautical University (Florida),True,True
Division II,Conference Carolinas,Emmanuel University (Georgia),True,True
Division II,South Atlantic Conference,Emory & Henry University,True,True
Division II,Mid-America Intercollegiate Athletics Association,Emporia State University,False,True
Division II,Conference Carolinas,Erskine College,True,True
Division II,Mountain East Conference,Fairmont State University,False,True
